DZ_Nr,Koor_WGS84_N,Koor_WGS84_E,Anmerkungen
9025,50.32652079,11.79740141,Schleifendefekt zeitweise in 2013
9095,50.38902142,11.97704256,Schleifendefekt zeitweise in 2013
9094,50.37981273,11.95305065,Schleifendefekt zeitweise in 2013
9005,49.36277672,11.19864156,Schleifendefekt zeitweise in 2013
9101,49.93518681,10.91097628,
9952,49.56790328,10.99106615,
9953,49.55165903,10.99292785,
9021,49.91174356,10.94004501,
9306,50.06352615,10.97263421,Schleifendefekt zeitweise in 2013 und Gerätedefekt zeitweise in 2012
9165,50.37984403,10.91587314,
9004,49.40199116,11.07369255,
9111,49.47246024,11.01516201,
9333,49.36752758,11.17862333,
9235,50.16686764,11.00748688,
9236,50.15815805,11.01691,
9035,49.73186512,9.82558323,Schleifendefekt zeitweise in 2012
9217,48.24495409,11.53367972,
9007,48.32880671,11.65067653,Schleifendefekt zeitweise in 2013
9015,48.30485655,11.5970144,Schleifendefekt in 2013 und zeitweise in 2012
9017,48.56996311,12.11390852,
9019,48.6885354,12.64836728,Hochwasser im Juni 2013
9006,48.25963991,11.53469968,
9096,50.37926833,11.96403906,
9190,47.79483521,12.08998953,
9087,49.50541742,12.18077432,
9045,48.99889233,12.06354345,
9629,47.71147526,12.1505882,Schleifendefekt zeitweise in 2013
9191,47.60601589,12.19531279,Baustelle zeitweise in 2013 und Gerätedefekt zeitweise in 2012
9044,49.00709262,12.06069619,
9049,49.03669376,12.0878039,
9902,49.31919088,12.15459238,
9099,50.15366608,12.09939781,
9030,48.74539476,11.86063601,
9901,49.5261282,12.15217097,
9840,48.1425967,11.76159587,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9987,48.14269663,11.73098585,Schleifendefekt zeitweise in 2013
9986,48.1422203,11.70408307,Schleifendefekt zeitweise in 2013
9985,48.13730673,11.67953115,
9984,48.24783831,12.40571395,Neue Zählstelle ab Januar 2013
9151,48.02372557,11.42157285,
9164,47.66206016,11.24500995,
9043,48.10067303,11.49816872,
9161,47.85485571,11.38688235,
9222,48.12741893,11.4378082,
9136,48.06269518,10.87875984,
9250,47.54781275,9.73539256,
9106,48.12400907,11.49133804,
9550,48.03758192,10.3768895,
9207,48.22693209,11.56448447,
9216,48.22274246,11.52173207,Baustelle in 2013 und in 2012
9775,48.20973238,11.46877704,Schleifendefekt zeitweise in 2013
