ID,SOURCE_ID,TARGET_ID,ARC_LENGTH
1,9180,9190,3.5
2,9028,9031,27.1
3,9026,9028,7.9
4,9171,9180,34.4
5,9031,9142,14.1
6,9023,9026,12.5
7,9221,9321,48.5
8,9301,9180,41.1
9,9135,9301,34
10,9937,9135,12.7
11,9142,9143,1.5
12,9143,9937,5
13,9190,9023,5.5
14,9180,9023,5
15,9301,9321,18.2
16,9221,9171,21.1
17,9028,9147,19.5
